ID,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,74.28
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,39.47
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,32.52
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,30.04
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,30.38
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,29.68
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,27.11
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,26.16
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,26.35
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,27.84
11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11,1.93,22
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,21.51
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,22.38
14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,20.57
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,20.21
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,17.25
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.24
19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,20.07
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,18.17
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,16.98
22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,17.72
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,16.82
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,15
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,14.37
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,15.34
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,14.5
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,14.12
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,13.81
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,13.44
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,14.05
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,13.51
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,13.56
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,11.93
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,11.52
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,12.62
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.63,0.08,12.23
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,11.85
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,11.8
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,12.02
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,10.9
42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,11.4
43,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,11.32
45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,9.97
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,11.13
47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,11.67
48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,4.12
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,10.76
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,10.68
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,10.89
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,10
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,10.43
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,10.01
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,8.65
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,9.06
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,8.96
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,10.26
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,10.14
60,Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,9.44
61,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0,9.2
62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,9.39
64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,9.72
65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,9.2
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,8.76
68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,8.2
69,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,8.74
70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,8.99
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,8.42
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3,9.07
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,8.69
75,Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,8.32
77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,8.59
78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,7.23
79,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,7.81
81,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,7.69
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,7.91
83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,6.24
84,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0,7.4
85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,7.94
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,7.14
87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,7.71
89,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,7.29
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,5.97
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,7.06
93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,6.44
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.14,6.24
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,7.44
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,7.26
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,7.27
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,7.01
99,Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,1.9,0,6.69
100,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,6.65
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,6.62
102,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.52,2.09,0.01,6.62
103,Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0,6.54
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,6.13
